lon,lat,demand
-122.4066832,37.7852132,1
-122.4071719,37.7850927,1
-122.4070676,37.7849230,1
-122.4070490,37.7848077,1
-122.4071898,37.7846948,1
-122.4066565,37.7845597,1
-122.4071580,37.7839470,1
-122.4072020,37.7839330,1
-122.4078310,37.7839082,1
-122.4072818,37.7850357,1
-122.4080579,37.7850759,1
-122.4076638,37.7853005,1
-122.4071700,37.7865500,1
-122.4078027,37.7868268,1
-122.4075056,37.7879384,1
-122.4065276,37.7876030,1
-122.4064118,37.7874285,1
-122.4061300,37.7878800,1
-122.4060313,37.7879413,1
-122.4061081,37.7876334,1
-122.4050033,37.7881347,1
-122.4054812,37.7868158,1
-122.4056361,37.7862480,1
-122.4055905,37.7853730,1
-122.4053368,37.7856113,1
-122.4043500,37.7865970,1
-122.4046900,37.7874900,1
-122.4047847,37.7877382,1
-122.4043128,37.7877714,1
-122.4041745,37.7879768,1
-122.4036176,37.7878023,1
-122.4040291,37.7870736,1
-122.4032476,37.7872374,1
-122.4027042,37.7878792,1
-122.4020265,37.7866479,1
-122.4021274,37.7866373,1
-122.4023052,37.7864915,1
-122.4026114,37.7842299,1
-122.4041214,37.7846848,1
-122.4049591,37.7844389,1
-122.4047178,37.7839888,1
-122.4035739,37.7839379,1
-122.4020873,37.7822974,1
-122.3990800,37.7831800,1
-122.3996800,37.7845200,1
-122.4011620,37.7855954,1
-122.4015083,37.7861347,1
-122.4013059,37.7882453,1
-122.4009972,37.7881302,1
-122.4009320,37.7874230,1
-122.4007168,37.7868570,1
-122.3995670,37.7869570,1
-122.4001932,37.7871437,1
-122.3997878,37.7877063,1
-122.3991670,37.7880960,1
-122.3989345,37.7871694,1
-122.3991013,37.7869453,1
-122.3993506,37.7865035,1
-122.3996025,37.7862602,1
-122.3981898,37.7853000,1
-122.3979959,37.7865658,1
-122.3980800,37.7874030,1
-122.3975531,37.7871887,1
-122.3967910,37.7876988,1
-122.3967201,37.7876355,1
-122.3961067,37.7871318,1
-122.3963799,37.7856169,1
-122.3969290,37.7847820,1
-122.3979910,37.7846180,1
-122.3979270,37.7832640,1
-122.3983838,37.7827105,1
-122.3956330,37.7817365,1
-122.3956364,37.7809701,1
-122.3963779,37.7792918,1
-122.3971888,37.7806781,1
-122.3974700,37.7816530,1
-122.3993371,37.7812899,1
-122.4003300,37.7816700,1
-122.4007525,37.7800911,1
-122.3998162,37.7778042,1
-122.4011792,37.7770502,1
-122.3980850,37.7776370,1
-122.3971430,37.7784160,1
-122.3971280,37.7784420,1
-122.3957400,37.7790600,1
-122.3956240,37.7772360,1
-122.3961946,37.7769334,1
-122.3966231,37.7759978,1
-122.3979066,37.7757109,1
-122.4002870,37.7760990,1
-122.4029598,37.7762441,1
-122.4054038,37.7755545,1
-122.4139395,37.7923055,1
-122.4126228,37.7947628,1
-122.4096767,37.7944022,1
-122.4087000,37.7932000,1
-122.4104083,37.7923376,1
-122.4100971,37.7923856,1
-122.4084377,37.7918750,1
-122.4082947,37.7900824,1
-122.4114658,37.7900610,1
-122.4128395,37.7914342,1
-122.4141187,37.7905273,1
-122.4144679,37.7892251,1
-122.4132685,37.7887018,1
-122.4102808,37.7885728,1
-122.4122000,37.7895400,1
-122.4099713,37.7891776,1
-122.4102067,37.7894181,1
-122.4080333,37.7895420,1
-122.4089630,37.7894823,1
-122.4089912,37.7893086,1
-122.4080238,37.7891655,1
-122.4083920,37.7889910,1
-122.4091794,37.7890561,1
-122.4095350,37.7890641,1
-122.4099894,37.7886526,1
-122.4098658,37.7882680,1
-122.4098275,37.7883383,1
-122.4096934,37.7882877,1
-122.4086332,37.7885363,1
-122.4076970,37.7886420,1
-122.4078251,37.7893834,1
-122.4078624,37.7895001,1
-122.4078089,37.7895385,1
-122.4075010,37.7893947,1
-122.4064559,37.7883017,1
-122.4067109,37.7893851,1
-122.4073657,37.7902956,1
-122.4078210,37.7896252,1
-122.4078360,37.7896570,1
-122.4072134,37.7918242,1
-122.4067958,37.7911872,1
-122.4061610,37.7922070,1
-122.4058422,37.7923961,1
-122.4052000,37.7929300,1
-122.4048540,37.7927100,1
-122.4050622,37.7914134,1
-122.4048435,37.7897949,1
-122.4053020,37.7903340,1
-122.4059830,37.7903099,1
-122.4057300,37.7897260,1
-122.4057887,37.7894778,1
-122.4059544,37.7883073,1
-122.4053624,37.7888778,1
-122.4054139,37.7889641,1
-122.4051037,37.7888343,1
-122.4046087,37.7886518,1
-122.4046100,37.7890600,1
-122.4043357,37.7906250,1
-122.4041152,37.7903661,1
-122.4036659,37.7901831,1
-122.4037860,37.7904330,1
-122.4033534,37.7892300,1
-122.4039675,37.7886549,1
-122.4034622,37.7885955,1
-122.4029721,37.7887962,1
-122.4029762,37.7889276,1
-122.4027310,37.7887620,1
-122.4023219,37.7884141,1
-122.4021639,37.7892528,1
-122.4021218,37.7896769,1
-122.4020230,37.7896901,1
-122.4018800,37.7897289,1
-122.4019648,37.7899511,1
-122.4020147,37.7907966,1
-122.4021662,37.7905913,1
-122.4024640,37.7905450,1
-122.4026977,37.7902218,1
-122.4029001,37.7899332,1
-122.4031940,37.7898580,1
-122.4031278,37.7908815,1
-122.4028500,37.7921400,1
-122.4026052,37.7919184,1
-122.4028438,37.7914847,1
-122.4024656,37.7913009,1
-122.4022614,37.7912188,1
-122.4017837,37.7911379,1
-122.4018610,37.7913230,1
-122.4020377,37.7911869,1
-122.4020196,37.7918969,1
-122.4024734,37.7923698,1
-122.4018326,37.7928317,1
-122.4026917,37.7931564,1
-122.4025978,37.7922192,1
-122.4031700,37.7931000,1
-122.4037349,37.7924823,1
-122.4038227,37.7924327,1
-122.4035395,37.7926278,1
-122.4035346,37.7910400,1
-122.4040219,37.7913211,1
-122.4036761,37.7920903,1
-122.4037802,37.7921017,1
-122.4041700,37.7910200,1
-122.4047300,37.7923550,1
-122.4042326,37.7922680,1
-122.4041473,37.7929206,1
-122.4041419,37.7929722,1
-122.4041530,37.7929840,1
-122.4046258,37.7928866,1
-122.4047364,37.7932041,1
-122.4042471,37.7940411,1
-122.4035448,37.7948612,1
-122.4034334,37.7944112,1
-122.4034159,37.7938867,1
-122.4029177,37.7936117,1
-122.4032652,37.7943935,1
-122.4028370,37.7941707,1
-122.4028244,37.7935478,1
-122.4019690,37.7938930,1
-122.4054615,37.7949581,1
-122.4052082,37.7935421,1
-122.4061735,37.7937317,1
-122.4064681,37.7947453,1
-122.4068890,37.7940565,1
-122.4071061,37.7941112,1
-122.4078080,37.7948640,1
-122.3963746,37.7940075,1
-122.3969693,37.7938088,1
-122.3970800,37.7949086,1
-122.3973065,37.7940458,1
-122.3973094,37.7936031,1
-122.3973660,37.7940540,1
-122.3975427,37.7940801,1
-122.3980470,37.7940390,1
-122.3985400,37.7939500,1
-122.3984700,37.7947900,1
-122.4005234,37.7949195,1
-122.4015735,37.7942603,1
-122.4010490,37.7938757,1
-122.4003754,37.7938614,1
-122.3996470,37.7935980,1
-122.3996179,37.7942836,1
-122.3996520,37.7945050,1
-122.4001713,37.7946329,1
-122.3988691,37.7949049,1
-122.3993280,37.7935810,1
-122.3990586,37.7929495,1
-122.3994100,37.7925200,1
-122.3989560,37.7923825,1
-122.3990033,37.7924612,1
-122.3989716,37.7926407,1
-122.3988643,37.7923270,1
-122.3989530,37.7912085,1
-122.3995600,37.7920500,1
-122.3998116,37.7913825,1
-122.4000507,37.7915345,1
-122.4000882,37.7927101,1
-122.3998240,37.7932735,1
-122.4005626,37.7931424,1
-122.4004997,37.7923292,1
-122.4006715,37.7923365,1
-122.4007966,37.7929910,1
-122.4012820,37.7928800,1
-122.4014970,37.7923240,1
-122.4010537,37.7915233,1
-122.4015889,37.7909530,1
-122.4012610,37.7911210,1
-122.4007192,37.7914634,1
-122.4004325,37.7919300,1
-122.4003130,37.7895587,1
-122.4005680,37.7899370,1
-122.4007800,37.7900500,1
-122.4007800,37.7900500,1
-122.4007600,37.7900300,1
-122.4009265,37.7900058,1
-122.4008400,37.7900290,1
-122.4007970,37.7900510,1
-122.4009015,37.7901989,1
-122.4009400,37.7904850,1
-122.4006334,37.7905134,1
-122.4011537,37.7904462,1
-122.4013234,37.7902609,1
-122.4012376,37.7899942,1
-122.4010621,37.7889112,1
-122.4014553,37.7893883,1
-122.4016060,37.7894060,1
-122.4014303,37.7888793,1
-122.4012726,37.7885853,1
-122.4009600,37.7889000,1
-122.4008000,37.7892200,1
-122.4004655,37.7887490,1
-122.3994810,37.7889920,1
-122.3999679,37.7894943,1
-122.3999400,37.7900700,1
-122.3990910,37.7898440,1
-122.3987395,37.7898099,1
-122.3985858,37.7885755,1
-122.3982900,37.7889800,1
-122.3981090,37.7888600,1
-122.3975593,37.7894051,1
-122.3974600,37.7901300,1
-122.3985777,37.7896541,1
-122.3986340,37.7909470,1
-122.3983315,37.7911869,1
-122.3982264,37.7914890,1
-122.3985311,37.7931948,1
-122.3980300,37.7930400,1
-122.3979822,37.7929336,1
-122.3982349,37.7923730,1
-122.3981070,37.7923827,1
-122.3978040,37.7929172,1
-122.3972066,37.7931561,1
-122.3971330,37.7912430,1
-122.3966861,37.7930159,1
-122.3963740,37.7911940,1
-122.3969303,37.7899226,1
-122.3965328,37.7884087,1
-122.3955814,37.7773977,1
-122.3950316,37.7818260,1
-122.3954426,37.7867379,1
-122.3954410,37.7896532,1
-122.3950387,37.7940770,1
